dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
cora,polynormer,oracle,none,0.1,,123,8,87.0000,83.8000,0.0,0.3025507926940918,,,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,oracle,none,0.1,,123,9,86.6000,83.3000,0.0,0.3025507926940918,,,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,0,84.4000,82.1000,0.0,0.18604838848114014,,0.2247210294008255,50,230,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,1,84.8000,85.1000,0.0,0.20359987020492554,,0.25527113676071167,50,264,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,2,84.6000,82.7000,0.0,0.2040957510471344,,0.31861817836761475,50,176,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,3,86.0000,80.3000,0.0,0.24152253568172455,,0.3406756818294525,50,214,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,4,84.0000,82.7000,0.0,0.2287178486585617,,0.3743453323841095,50,206,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,5,84.4000,81.4000,0.0,0.2206304520368576,,0.31832775473594666,50,210,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,6,81.0000,85.3000,0.0,0.20009386539459229,,0.32824310660362244,50,208,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,7,85.8000,84.5000,0.0,0.20615875720977783,,0.22061572968959808,50,264,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,8,87.2000,81.7000,0.0,0.24461865425109863,,0.38583967089653015,50,222,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,count,none,0.1,,123,9,85.6000,82.3000,0.0,0.2174549549818039,,0.3215254545211792,50,202,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,0,85.2000,81.4000,0.0,0.04385674372315407,0.4480000138282776,0.6676904559135437,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,1,84.6000,83.0000,0.0,0.05939166992902756,0.4740000367164612,0.6722381711006165,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,2,84.0000,82.3000,0.0,0.06360149383544922,0.4580000340938568,0.6742891073226929,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,3,84.8000,78.7000,0.0,0.06036336347460747,0.39400002360343933,0.6830609440803528,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,4,83.0000,83.0000,0.0,0.041204411536455154,0.41200003027915955,0.6851733922958374,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,5,84.0000,81.3000,0.0,0.04694646596908569,0.4360000193119049,0.6748934984207153,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,6,80.4000,85.0000,0.0,0.051659200340509415,0.4360000193119049,0.6694635152816772,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
cora,polynormer,mlp,none,0.1,500,123,7,86.0000,83.1000,0.0,0.07302406430244446,0.42600002884864807,0.6801406145095825,50,,"lr=0.001,hid=64,do=0.5,wd=0.0005,heads=8,ll=5,gl=1,le=100,ge=1000,beta=-1.0"
