dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,1,68.8000,72.2000,0.03642066940665245,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,2,69.2000,71.2000,0.049229856580495834,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,3,69.0000,71.8000,0.045032743364572525,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,4,68.2000,71.6000,0.047667019069194794,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,5,68.8000,71.9000,0.09498334676027298,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,6,68.8000,72.1000,0.05394883081316948,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,7,69.4000,71.3000,0.062280137091875076,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,8,68.0000,71.0000,0.04009563475847244,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.1,500,123,9,68.8000,72.9000,0.027437541633844376,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,0,69.8000,72.9000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,1,69.0000,72.8000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,2,69.8000,72.0000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,3,69.2000,72.6000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,4,69.0000,72.3000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,5,69.2000,72.5000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,6,70.0000,73.1000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,7,70.2000,72.4000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,8,68.2000,71.8000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.1,,123,9,69.2000,72.5000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,0,68.6000,72.3000,0.0,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,1,68.6000,72.3000,0.0,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,2,69.2000,71.3000,0.0,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,3,69.0000,72.4000,0.0,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,4,68.2000,72.4000,0.0,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,5,69.0000,72.2000,0.0,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,6,69.0000,72.0000,0.0,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,7,70.0000,71.4000,0.0,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,8,68.0000,71.0000,0.0,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.1,500,123,9,68.4000,71.7000,0.0,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,0,68.8000,72.6000,0.09427822381258011,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,1,68.8000,72.1000,0.10087995231151581,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,2,69.0000,71.5000,0.1120435893535614,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,3,69.2000,72.3000,0.11851685494184494,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,4,68.0000,72.3000,0.10297255963087082,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,5,68.8000,72.2000,0.1702505648136139,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,6,69.0000,72.2000,0.1183314099907875,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,7,70.2000,71.3000,0.15008261799812317,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,8,68.0000,70.9000,0.10760213434696198,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.2,500,123,9,68.4000,71.4000,0.08657877892255783,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,0,68.8000,72.5000,0.024825476109981537,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,1,68.6000,72.3000,0.03642066940665245,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,2,69.2000,71.6000,0.049229856580495834,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,3,68.6000,72.7000,0.045032743364572525,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,4,68.6000,72.0000,0.047667019069194794,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,5,69.0000,72.0000,0.09498334676027298,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,6,69.2000,71.4000,0.05394883081316948,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,7,70.0000,71.8000,0.062280137091875076,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,8,68.0000,71.2000,0.04009563475847244,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.2,500,123,9,68.4000,71.7000,0.027437541633844376,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,0,70.4000,73.2000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,1,69.8000,73.7000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,2,70.4000,72.8000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,3,69.8000,73.1000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,4,69.6000,72.3000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,5,70.4000,72.5000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,6,70.0000,72.9000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,7,71.2000,72.5000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,8,68.6000,71.0000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.2,,123,9,69.4000,73.0000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,0,68.8000,71.7000,0.0,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,1,69.0000,72.0000,0.0,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,2,69.0000,72.8000,0.0,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,3,68.8000,72.6000,0.0,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,4,68.4000,72.0000,0.0,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,5,69.0000,71.4000,0.0,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,6,69.2000,71.9000,0.0,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,7,69.8000,71.6000,0.0,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,8,68.0000,71.1000,0.0,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.2,500,123,9,68.6000,71.5000,0.0,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,0,68.8000,73.0000,0.09427822381258011,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,1,68.2000,71.8000,0.10087995231151581,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,2,69.0000,72.1000,0.1120435893535614,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,3,68.4000,72.5000,0.11851685494184494,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,4,68.2000,71.5000,0.10297255963087082,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,5,69.0000,70.9000,0.1702505648136139,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,6,69.0000,72.5000,0.1183314099907875,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,7,69.0000,71.8000,0.15008261799812317,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,8,68.0000,71.1000,0.10760213434696198,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,shuffle,0.4,500,123,9,68.6000,71.6000,0.08657877892255783,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,0,71.2000,74.4000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,1,70.8000,73.7000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,2,71.2000,73.3000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,3,71.0000,73.6000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,4,71.0000,73.6000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,5,71.2000,73.6000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,6,71.0000,73.6000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,7,71.8000,73.7000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,8,69.4000,72.7000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,oracle,none,0.4,,123,9,70.6000,72.8000,0.0,0.20655469596385956,,,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,0,69.0000,72.7000,0.024825476109981537,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,1,68.6000,72.5000,0.03642066940665245,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,2,69.4000,72.6000,0.049229856580495834,0.05681661143898964,0.2900000214576721,0.8146862387657166,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,3,69.0000,72.4000,0.045032743364572525,0.051587749272584915,0.3240000009536743,0.8003460168838501,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,4,68.6000,72.0000,0.047667019069194794,0.055003903806209564,0.29600000381469727,0.8136875033378601,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,5,69.0000,72.0000,0.09498334676027298,0.1068655326962471,0.2600000202655792,0.8144040703773499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,6,69.0000,72.6000,0.05394883081316948,0.061868730932474136,0.3240000009536743,0.8012234568595886,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,7,69.4000,71.8000,0.062280137091875076,0.07159923762083054,0.320000022649765,0.7986589670181274,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,8,67.6000,71.1000,0.04009563475847244,0.04682360962033272,0.3020000159740448,0.8038604259490967,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,homophily,0.4,500,123,9,68.8000,72.4000,0.027437541633844376,0.030590277165174484,0.3400000035762787,0.791949987411499,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.4,500,123,0,68.6000,72.7000,0.0,0.028268249705433846,0.3400000035762787,0.7992440462112427,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
citeseer,MPNN_gat,mlp,none,0.4,500,123,1,68.4000,72.4000,0.0,0.04144818335771561,0.36000001430511475,0.8005858659744263,"lr=0.001,hid=256,do=0.5,wd=0.01,heads=1,ll=3,gnn=gat,ln=False,bn=False,res=True,jk=False,prelin=False"
