dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
citeseer,MPNN_gcn,count,none,0.4,,123,0,70.2000,73.0000,0.0,0.1311037391424179,,0.7776920795440674,20,10,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,1,73.6000,71.2000,0.0,0.14820216596126556,,0.8206108808517456,20,8,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,2,71.0000,71.9000,0.0,0.19524380564689636,,0.7004481554031372,20,20,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,3,73.2000,68.8000,0.0,0.0,,0.8586005568504333,20,0,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,4,71.6000,70.4000,0.0,0.12483016401529312,,0.7591620683670044,20,8,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,5,71.0000,66.4000,0.0,0.1300193816423416,,0.8394100666046143,20,6,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,6,71.6000,69.6000,0.0,0.1914670318365097,,0.6844664216041565,20,20,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,7,70.0000,69.8000,0.0,0.12740559875965118,,0.7002625465393066,20,10,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,8,67.4000,68.0000,0.0,0.0755835548043251,,0.7172075510025024,20,6,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
citeseer,MPNN_gcn,count,none,0.4,,123,9,70.2000,71.2000,0.0,0.1460193693637848,,0.7470062971115112,20,12,"lr=0.001,hid=512,do=0.5,wd=0.01,heads=1,ll=2,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
